13:56:55.648881 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1597, length 64
13:56:55.731572 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1597, length 64
13:56:56.658223 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1598, length 64
13:56:56.811808 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1598, length 64
13:56:57.667706 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1599, length 64
13:56:57.939268 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1599, length 64
13:56:58.677487 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1600, length 64
13:56:58.907756 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1600, length 64
13:56:59.686995 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1601, length 64
13:56:59.786606 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1601, length 64
13:57:00.696416 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1602, length 64
13:57:00.738961 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1602, length 64
13:57:01.706718 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1603, length 64
13:57:01.857094 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1603, length 64
13:57:02.251791 IP 192.168.15.130.netbios-ns > 192.168.15.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
13:57:02.716424 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1604, length 64
13:57:02.808966 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1604, length 64
13:57:03.725657 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1605, length 64
13:57:03.752074 IP 192.168.15.130.netbios-ns > 192.168.15.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
13:57:03.809046 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1605, length 64
13:57:04.735403 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1606, length 64
13:57:04.784950 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1606, length 64
13:57:05.252208 IP 192.168.15.130.netbios-ns > 192.168.15.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
13:57:05.745012 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1607, length 64
13:57:05.916001 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1607, length 64
13:57:06.210332 ARP, Request who-has 192.168.15.130 (Broadcast) tell 192.168.15.129, length 46
13:57:06.210800 ARP, Reply 192.168.15.130 is-at 00:0c:29:66:2d:38 (oui Unknown), length 46
13:57:06.411450 IP 192.168.15.129.39610 > 192.168.15.2.domain: 52926+ PTR? 130.15.168.192.in-addr.arpa. (45)
13:57:06.415896 IP 192.168.15.2.domain > 192.168.15.129.39610: 52926 NXDomain 0/0/0 (45)
13:57:06.416662 ARP, Request who-has 192.168.15.130 tell 192.168.15.129, length 46
13:57:06.416977 ARP, Reply 192.168.15.130 is-at 00:0c:29:66:2d:38 (oui Unknown), length 46
13:57:06.417246 IP 192.168.15.129.64613 > 192.168.15.130.1720: Flags [S], seq 425237050, win 1024, options [mss 1460], length 0
13:58:09.163521 IP 192.168.15.129.58250 > 192.168.15.130.1247: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:09.164301 IP 192.168.15.130.1247 > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:09.184430 IP 192.168.15.129.58250 > 192.168.15.130.2288: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:09.185189 IP 192.168.15.130.2288 > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:09.204981 IP 192.168.15.129.58250 > 192.168.15.130.bgp: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:09.205731 IP 192.168.15.130.bgp > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:09.225534 IP 192.168.15.129.58251 > 192.168.15.130.8652: Flags [S], seq 3336720433, win 1024, options [mss 1460], length 0
13:58:09.226316 IP 192.168.15.130.8652 > 192.168.15.129.58251: Flags [R.], seq 0, ack 3336720434, win 0, length 0
13:58:09.246396 IP 192.168.15.129.58251 > 192.168.15.130.2809: Flags [S], seq 3336720433, win 1024, options [mss 1460], length 0
13:58:09.247103 IP 192.168.15.130.2809 > 192.168.15.129.58251: Flags [R.], seq 0, ack 3336720434, win 0, length 0
13:58:09.267402 IP 192.168.15.129.58251 > 192.168.15.130.1247: Flags [S], seq 3336720433, win 1024, options [mss 1460], length 0
13:58:09.268147 IP 192.168.15.130.1247 > 192.168.15.129.58251: Flags [R.], seq 0, ack 3336720434, win 0, length 0
13:58:09.288681 IP 192.168.15.129.58251 > 192.168.15.130.2288: Flags [S], seq 3336720433, win 1024, options [mss 1460], length 0
13:58:09.289489 IP 192.168.15.130.2288 > 192.168.15.129.58251: Flags [R.], seq 0, ack 3336720434, win 0, length 0
13:58:09.309105 IP 192.168.15.129.58251 > 192.168.15.130.bgp: Flags [S], seq 3336720433, win 1024, options [mss 1460], length 0
13:58:09.309852 IP 192.168.15.130.bgp > 192.168.15.129.58251: Flags [R.], seq 0, ack 3336720434, win 0, length 0
13:58:09.330161 IP 192.168.15.129.58250 > 192.168.15.130.20031: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:09.330766 IP 192.168.15.130.20031 > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:09.350548 IP 192.168.15.129.58250 > 192.168.15.130.19780: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:09.351297 IP 192.168.15.130.19780 > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:09.371464 IP 192.168.15.129.58250 > 192.168.15.130.3168: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:09.372215 IP 192.168.15.130.3168 > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:09.392489 IP 192.168.15.129.58250 > 192.168.15.130.5120: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:09.393192 IP 192.168.15.130.5120 > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:09.413170 IP 192.168.15.129.58250 > 192.168.15.130.20828: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:09.413888 IP 192.168.15.130.20828 > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:09.434308 IP 192.168.15.129.58251 > 192.168.15.130.20031: Flags [S], seq 3336720433, win 1024, options [mss 1460], length 0
13:58:09.435007 IP 192.168.15.130.20031 > 192.168.15.129.58251: Flags [R.], seq 0, ack 3336720434, win 0, length 0
13:58:09.436022 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1670, length 64
13:58:09.454423 IP 192.168.15.129.58251 > 192.168.15.130.19780: Flags [S], seq 3336720433, win 1024, options [mss 1460], length 0
13:58:09.455162 IP 192.168.15.130.19780 > 192.168.15.129.58251: Flags [R.], seq 0, ack 3336720434, win 0, length 0
13:58:09.475614 IP 192.168.15.129.58251 > 192.168.15.130.3168: Flags [S], seq 3336720433, win 1024, options [mss 1460], length 0
13:58:09.476332 IP 192.168.15.130.3168 > 192.168.15.129.58251: Flags [R.], seq 0, ack 3336720434, win 0, length 0
13:58:09.496525 IP 192.168.15.129.58251 > 192.168.15.130.5120: Flags [S], seq 3336720433, win 1024, options [mss 1460], length 0
13:58:09.497243 IP 192.168.15.130.5120 > 192.168.15.129.58251: Flags [R.], seq 0, ack 3336720434, win 0, length 0
13:58:09.516826 IP 192.168.15.129.58251 > 192.168.15.130.20828: Flags [S], seq 3336720433, win 1024, options [mss 1460], length 0
13:58:09.517535 IP 192.168.15.130.20828 > 192.168.15.129.58251: Flags [R.], seq 0, ack 3336720434, win 0, length 0
13:58:09.537596 IP 192.168.15.129.58250 > 192.168.15.130.6156: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:09.538376 IP 192.168.15.130.6156 > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:09.558136 IP 192.168.15.129.58250 > 192.168.15.130.264: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:09.558869 IP 192.168.15.130.264 > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:09.578458 IP 192.168.15.129.58250 > 192.168.15.130.1067: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:09.579218 IP 192.168.15.130.1067 > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:09.594565 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1670, length 64
13:58:09.598877 IP 192.168.15.129.58250 > 192.168.15.130.3527: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:09.599666 IP 192.168.15.130.3527 > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:09.642723 ARP, Request who-has 192.168.15.2 tell 192.168.15.129, length 46
13:58:09.643276 ARP, Reply 192.168.15.2 is-at 00:50:56:e8:23:fc (oui Unknown), length 46
13:58:10.445691 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1671, length 64
13:58:10.621622 IP 192.168.15.129.58250 > 192.168.15.130.4000: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:10.622433 IP 192.168.15.130.4000 > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:10.641872 IP 192.168.15.129.58250 > 192.168.15.130.2144: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:10.642613 IP 192.168.15.130.2144 > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:10.662686 IP 192.168.15.129.58250 > 192.168.15.130.7200: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:10.663409 IP 192.168.15.130.7200 > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:10.671026 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1671, length 64
13:58:10.683568 IP 192.168.15.129.58250 > 192.168.15.130.3905: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:10.684055 IP 192.168.15.130.3905 > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:10.721706 IP 192.168.15.129.58250 > 192.168.15.130.7920: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:10.722170 IP 192.168.15.130.7920 > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:10.742732 IP 192.168.15.129.58250 > 192.168.15.130.1055: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:10.743193 IP 192.168.15.130.1055 > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:10.763776 IP 192.168.15.129.58250 > 192.168.15.130.bacula-sd: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:10.764297 IP 192.168.15.130.bacula-sd > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:10.784104 IP 192.168.15.129.58250 > 192.168.15.130.2033: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:10.784832 IP 192.168.15.130.2033 > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:10.822377 IP 192.168.15.129.58251 > 192.168.15.130.7920: Flags [S], seq 3336720433, win 1024, options [mss 1460], length 0
13:58:10.823134 IP 192.168.15.130.7920 > 192.168.15.129.58251: Flags [R.], seq 0, ack 3336720434, win 0, length 0
13:58:10.845394 IP 192.168.15.129.58251 > 192.168.15.130.1055: Flags [S], seq 3336720433, win 1024, options [mss 1460], length 0
13:58:10.846150 IP 192.168.15.130.1055 > 192.168.15.129.58251: Flags [R.], seq 0, ack 3336720434, win 0, length 0
13:58:10.866350 IP 192.168.15.129.58251 > 192.168.15.130.bacula-sd: Flags [S], seq 3336720433, win 1024, options [mss 1460], length 0
13:58:10.867092 IP 192.168.15.130.bacula-sd > 192.168.15.129.58251: Flags [R.], seq 0, ack 3336720434, win 0, length 0
13:58:10.886553 IP 192.168.15.129.58251 > 192.168.15.130.2033: Flags [S], seq 3336720433, win 1024, options [mss 1460], length 0
13:58:10.887319 IP 192.168.15.130.2033 > 192.168.15.129.58251: Flags [R.], seq 0, ack 3336720434, win 0, length 0
13:58:10.922756 IP 192.168.15.129.58250 > 192.168.15.130.daytime: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:10.923540 IP 192.168.15.130.daytime > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:10.943084 IP 192.168.15.129.58250 > 192.168.15.130.rfe: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:10.943894 IP 192.168.15.130.rfe > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:10.963381 IP 192.168.15.129.58250 > 192.168.15.130.9000: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:10.964027 IP 192.168.15.130.9000 > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:10.983741 IP 192.168.15.129.58250 > 192.168.15.130.2909: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:10.984550 IP 192.168.15.130.2909 > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:11.004731 IP 192.168.15.129.58250 > 192.168.15.130.3001: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:11.005406 IP 192.168.15.130.3001 > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:11.025297 IP 192.168.15.129.58251 > 192.168.15.130.daytime: Flags [S], seq 3336720433, win 1024, options [mss 1460], length 0
13:58:11.026016 IP 192.168.15.130.daytime > 192.168.15.129.58251: Flags [R.], seq 0, ack 3336720434, win 0, length 0
13:58:11.046309 IP 192.168.15.129.58251 > 192.168.15.130.rfe: Flags [S], seq 3336720433, win 1024, options [mss 1460], length 0
13:58:11.047062 IP 192.168.15.130.rfe > 192.168.15.129.58251: Flags [R.], seq 0, ack 3336720434, win 0, length 0
13:58:11.067291 IP 192.168.15.129.58251 > 192.168.15.130.9000: Flags [S], seq 3336720433, win 1024, options [mss 1460], length 0
13:58:11.068088 IP 192.168.15.130.9000 > 192.168.15.129.58251: Flags [R.], seq 0, ack 3336720434, win 0, length 0
13:58:11.087620 IP 192.168.15.129.58251 > 192.168.15.130.2909: Flags [S], seq 3336720433, win 1024, options [mss 1460], length 0
13:58:11.088390 IP 192.168.15.130.2909 > 192.168.15.129.58251: Flags [R.], seq 0, ack 3336720434, win 0, length 0
13:58:11.108935 IP 192.168.15.129.58251 > 192.168.15.130.3001: Flags [S], seq 3336720433, win 1024, options [mss 1460], length 0
13:58:11.109654 IP 192.168.15.130.3001 > 192.168.15.129.58251: Flags [R.], seq 0, ack 3336720434, win 0, length 0
13:58:11.129318 IP 192.168.15.129.58250 > 192.168.15.130.xtell: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:11.130037 IP 192.168.15.130.xtell > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:11.150285 IP 192.168.15.129.58250 > 192.168.15.130.1141: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:11.151026 IP 192.168.15.130.1141 > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:11.171592 IP 192.168.15.129.58250 > 192.168.15.130.7201: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:11.172320 IP 192.168.15.130.7201 > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:11.192288 IP 192.168.15.129.58250 > 192.168.15.130.login: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:11.193029 IP 192.168.15.130.login > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:11.212612 IP 192.168.15.129.58250 > 192.168.15.130.1081: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:11.213353 IP 192.168.15.130.1081 > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:11.232928 IP 192.168.15.129.58251 > 192.168.15.130.xtell: Flags [S], seq 3336720433, win 1024, options [mss 1460], length 0
13:58:11.233700 IP 192.168.15.130.xtell > 192.168.15.129.58251: Flags [R.], seq 0, ack 3336720434, win 0, length 0
13:58:11.253863 IP 192.168.15.129.58251 > 192.168.15.130.1141: Flags [S], seq 3336720433, win 1024, options [mss 1460], length 0
13:58:11.254592 IP 192.168.15.130.1141 > 192.168.15.129.58251: Flags [R.], seq 0, ack 3336720434, win 0, length 0
13:58:11.274775 IP 192.168.15.129.58251 > 192.168.15.130.7201: Flags [S], seq 3336720433, win 1024, options [mss 1460], length 0
13:58:11.275512 IP 192.168.15.130.7201 > 192.168.15.129.58251: Flags [R.], seq 0, ack 3336720434, win 0, length 0
13:58:11.295720 IP 192.168.15.129.58251 > 192.168.15.130.login: Flags [S], seq 3336720433, win 1024, options [mss 1460], length 0
13:58:11.296401 IP 192.168.15.130.login > 192.168.15.129.58251: Flags [R.], seq 0, ack 3336720434, win 0, length 0
13:58:11.316573 IP 192.168.15.129.58251 > 192.168.15.130.1081: Flags [S], seq 3336720433, win 1024, options [mss 1460], length 0
13:58:11.317322 IP 192.168.15.130.1081 > 192.168.15.129.58251: Flags [R.], seq 0, ack 3336720434, win 0, length 0
13:58:11.337820 IP 192.168.15.129.58250 > 192.168.15.130.9111: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:11.338554 IP 192.168.15.130.9111 > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:11.358223 IP 192.168.15.129.58250 > 192.168.15.130.50006: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:11.358932 IP 192.168.15.130.50006 > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:11.378455 IP 192.168.15.129.58250 > 192.168.15.130.afs3-kaserver: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:11.379189 IP 192.168.15.130.afs3-kaserver > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:11.398757 IP 192.168.15.129.58250 > 192.168.15.130.1124: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:11.399476 IP 192.168.15.130.1124 > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:11.419944 IP 192.168.15.129.58250 > 192.168.15.130.ripd: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:11.420638 IP 192.168.15.130.ripd > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:11.440486 IP 192.168.15.129.58251 > 192.168.15.130.9111: Flags [S], seq 3336720433, win 1024, options [mss 1460], length 0
13:58:11.441234 IP 192.168.15.130.9111 > 192.168.15.129.58251: Flags [R.], seq 0, ack 3336720434, win 0, length 0
13:58:11.454642 IP 192.168.15.128 > 8.8.8.8: ICMP echo request, id 13086, seq 1672, length 64
13:58:11.461370 IP 192.168.15.129.58251 > 192.168.15.130.50006: Flags [S], seq 3336720433, win 1024, options [mss 1460], length 0
13:58:11.462082 IP 192.168.15.130.50006 > 192.168.15.129.58251: Flags [R.], seq 0, ack 3336720434, win 0, length 0
13:58:11.482243 IP 192.168.15.129.58251 > 192.168.15.130.afs3-kaserver: Flags [S], seq 3336720433, win 1024, options [mss 1460], length 0
13:58:11.482677 IP 192.168.15.130.afs3-kaserver > 192.168.15.129.58251: Flags [R.], seq 0, ack 3336720434, win 0, length 0
13:58:11.502698 IP 192.168.15.129.58251 > 192.168.15.130.1124: Flags [S], seq 3336720433, win 1024, options [mss 1460], length 0
13:58:11.503194 IP 192.168.15.130.1124 > 192.168.15.129.58251: Flags [R.], seq 0, ack 3336720434, win 0, length 0
13:58:11.524130 IP 192.168.15.129.58250 > 192.168.15.130.5862: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:11.524853 IP 192.168.15.130.5862 > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:11.545194 IP 192.168.15.129.58250 > 192.168.15.130.9929: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:11.546221 IP 192.168.15.130.9929 > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:11.565833 IP 192.168.15.129.58250 > 192.168.15.130.3: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:11.566541 IP 192.168.15.130.3 > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:11.587064 IP 192.168.15.129.58250 > 192.168.15.130.15660: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:11.587878 IP 192.168.15.130.15660 > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:11.607473 IP 192.168.15.129.58250 > 192.168.15.130.60443: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:11.608215 IP 192.168.15.130.60443 > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:11.628487 IP 192.168.15.129.58251 > 192.168.15.130.5862: Flags [S], seq 3336720433, win 1024, options [mss 1460], length 0
13:58:11.629199 IP 192.168.15.130.5862 > 192.168.15.129.58251: Flags [R.], seq 0, ack 3336720434, win 0, length 0
13:58:11.649691 IP 192.168.15.129.58251 > 192.168.15.130.9929: Flags [S], seq 3336720433, win 1024, options [mss 1460], length 0
13:58:11.650480 IP 192.168.15.130.9929 > 192.168.15.129.58251: Flags [R.], seq 0, ack 3336720434, win 0, length 0
13:58:11.670896 IP 192.168.15.129.58251 > 192.168.15.130.3: Flags [S], seq 3336720433, win 1024, options [mss 1460], length 0
13:58:11.671640 IP 192.168.15.130.3 > 192.168.15.129.58251: Flags [R.], seq 0, ack 3336720434, win 0, length 0
13:58:11.691258 IP 192.168.15.129.58251 > 192.168.15.130.15660: Flags [S], seq 3336720433, win 1024, options [mss 1460], length 0
13:58:11.691944 IP 192.168.15.130.15660 > 192.168.15.129.58251: Flags [R.], seq 0, ack 3336720434, win 0, length 0
13:58:11.712259 IP 192.168.15.129.58251 > 192.168.15.130.60443: Flags [S], seq 3336720433, win 1024, options [mss 1460], length 0
13:58:11.712944 IP 192.168.15.130.60443 > 192.168.15.129.58251: Flags [R.], seq 0, ack 3336720434, win 0, length 0
13:58:11.724048 IP 8.8.8.8 > 192.168.15.128: ICMP echo reply, id 13086, seq 1672, length 64
13:58:11.733006 IP 192.168.15.129.58250 > 192.168.15.130.1311: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:11.733786 IP 192.168.15.130.1311 > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:11.753466 IP 192.168.15.129.58250 > 192.168.15.130.sane-port: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:11.754243 IP 192.168.15.130.sane-port > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:11.774763 IP 192.168.15.129.58250 > 192.168.15.130.1077: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:11.775510 IP 192.168.15.130.1077 > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:11.796063 IP 192.168.15.129.58250 > 192.168.15.130.8400: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:11.796794 IP 192.168.15.130.8400 > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:11.816747 IP 192.168.15.129.58250 > 192.168.15.130.2869: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:11.817523 IP 192.168.15.130.2869 > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:11.837080 IP 192.168.15.129.58251 > 192.168.15.130.1311: Flags [S], seq 3336720433, win 1024, options [mss 1460], length 0
13:58:11.837799 IP 192.168.15.130.1311 > 192.168.15.129.58251: Flags [R.], seq 0, ack 3336720434, win 0, length 0
13:58:11.858058 IP 192.168.15.129.58251 > 192.168.15.130.sane-port: Flags [S], seq 3336720433, win 1024, options [mss 1460], length 0
13:58:11.858788 IP 192.168.15.130.sane-port > 192.168.15.129.58251: Flags [R.], seq 0, ack 3336720434, win 0, length 0
13:58:11.878611 IP 192.168.15.129.58251 > 192.168.15.130.1077: Flags [S], seq 3336720433, win 1024, options [mss 1460], length 0
13:58:11.879337 IP 192.168.15.130.1077 > 192.168.15.129.58251: Flags [R.], seq 0, ack 3336720434, win 0, length 0
13:58:11.899842 IP 192.168.15.129.58251 > 192.168.15.130.8400: Flags [S], seq 3336720433, win 1024, options [mss 1460], length 0
13:58:11.900584 IP 192.168.15.130.8400 > 192.168.15.129.58251: Flags [R.], seq 0, ack 3336720434, win 0, length 0
13:58:11.920460 IP 192.168.15.129.58250 > 192.168.15.130.snmp: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:11.921212 IP 192.168.15.130.snmp > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:11.940902 IP 192.168.15.129.58250 > 192.168.15.130.617: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:11.941680 IP 192.168.15.130.617 > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:11.961109 IP 192.168.15.129.58250 > 192.168.15.130.1110: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:11.961884 IP 192.168.15.130.1110 > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:11.981953 IP 192.168.15.129.58250 > 192.168.15.130.306: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:11.982732 IP 192.168.15.130.306 > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:12.003103 IP 192.168.15.129.58250 > 192.168.15.130.gopher: Flags [S], seq 3336654898, win 1024, options [mss 1460], length 0
13:58:12.003805 IP 192.168.15.130.gopher > 192.168.15.129.58250: Flags [R.], seq 0, ack 3336654899, win 0, length 0
13:58:12.023381 IP 192.168.15.129.58251 > 192.168.15.130.snmp: Flags [S], seq 3336720433, win 1024, options [mss 1460], length 0
13:58:12.024123 IP 192.168.15.130.snmp > 192.168.15.129.58251: Flags [R.], seq 0, ack 3336720434, win 0, length 0
13:58:12.043634 IP 192.168.15.129.58251 > 192.168.15.130.617: Flags [S], seq 3336720433, win 1024, options [mss 1460], length 0
13:58:12.044410 IP 192.168.15.130.617 > 192.168.15.129.58251: Flags [R.], seq 0, ack 3336720434, win 0, length 0
13:58:12.064789 IP 192.168.15.129.58251 > 192.168.15.130.1110: Flags [S], seq 3336720433, win 1024, options [mss 1460], length 0
